input1,input2,input3,output1,output2,output3
125,24,14,1.0368,512.8556,2.56
62,18,9,1.471,443.1166,2.07
31,18,4,1.76,454.5664,3.79
161,20,11,1.053,489.7394,2.78
33,14,3,1.4116,477.8811,0.72
29,16,4,1.4839,460.5746,0.29
61,17,6,1.2727,544.248,3.67
170,18,10,1.0504,488.4956,1.72
26,16,5,1.249,403.3443,0.9
33,16,4,1.6194,457.2834,0.25
200,16,12,0.9846,494.4145,7.61
66,16,7,1.1142,431.0766,0.39
86,18,6,1.4012,499.9132,2.43
36,14,4,2.0097,411.4062,0.69
55,17,8,1.1839,408.0465,1.67
67,16,7,1.2193,409.8545,2.75
116,22,10,1.4369,482.1815,8.27
33,14,8,1.2316,367.7029,6.57
146,19,14,1.4599,448.2197,1.35
107,18,15,1.3559,401.2584,1.27
34,17,4,1.3702,484.1441,0.36
55,19,5,1.5083,547.0238,0.91
33,20,4,3.1935,409.3434,2.3
80,20,13,3.77,363.361,8.48
90,15,10,1.2193,417.4219,9.89
60,17,12,1.0265,403.0776,1.24
28,13,4,1.3242,423.25,5.39
43,16,8,2.0544,356.5133,1.21
34,17,5,1.6842,418.9189,3.57
75,18,7,1.4724,439.5396,0.6
55,16,8,1.3928,401.4129,5.43
134,22,10,1.3105,473.5927,0.05
85,16,13,1.5718,366.6241,2.76
82,19,7,1.168,447.0517,4.35
130,20,8,1.2501,476.2956,2.5
51,18,4,1.4427,449.9668,1.87
31,15,5,1.3397,400.2844,0.19
75,24,18,2.4402,377.3001,8.53
132,24,13,0.9396,431.076,9.6
35,15,5,1.4767,467.003,6.77
130,18,12,1.3416,411.2028,2.32
135,22,12,1.2906,457.6419,1.25
38,18,5,1.8239,415.5051,0.79
39,14,5,1.0617,402.661,4.45
34,14,7,1.2772,372.2261,7.42
40,17,4,1.4433,566.4545,0.12
30,15,5,1.28,419.3223,5.45
42,20,4,1.3607,470.0809,1.06
76,18,7,1.5114,432.5778,2.69
33,16,5,1.2868,405.131,0.39
30,16,7,1.7273,407.6979,3.99
24,19,7,1.5046,456.4435,0.96
98,17,7,1.3281,530.5953,0.7
36,21,7,3.3234,399.5078,3.2
170,20,10,1.1772,428.3919,8.98
86,20,9,2.3286,388.7775,3.93
129,23,15,1.1735,447.3898,8.49
98,21,13,1.8091,414.5198,8.53
31,18,7,1.5827,408.1918,0.11
28,19,4,1.9191,443.2765,5.41
33,15,5,1.2112,420.8468,0.78
166,23,11,1.3252,520.0036,5.82
31,16,5,1.6259,430.8417,3.96
145,22,10,1.1977,464.1995,0.47
123,22,15,1.9209,431.2041,5.87
24,18,3,1.6332,496.7326,1.99
88,19,11,1.0521,406.5082,3.26
80,18,5,1.0334,408.6578,1.16
42,19,4,3.2757,425.4202,2.21
75,20,9,2.0656,392.4185,9.12
26,13,6,1.2478,461.4097,6.27
180,21,12,1.199,495.3618,4.29
40,18,7,1.3679,382.3634,0.36
102,19,9,1.2069,451.1548,9.4
128,23,11,0.9363,433.1315,6.79
30,18,7,1.454,448.4855,0.57
47,17,5,1.5726,455.9639,0.05
70,17,10,1.5742,370.0213,3.25
72,17,5,1.4646,459.0724,2.04
100,22,7,1.4094,511.787,2.69
132,21,12,1.3188,445.5001,1.73
153,20,12,1.0816,485.1965,5.89
39,16,6,1.8176,425.664,6.65
161,20,12,1.1992,476.1609,3.48
31,17,4,1.4361,447.4394,1.44
86,22,10,1.38,513.7723,1.59
44,18,5,1.6549,457.0369,0.15
188,21,13,0.88,488.6423,2.57
33,14,5,1.9931,408.135,1.79
24,19,4,1.3606,504.5216,0.22
25,13,5,1.194,417.4371,8.6
45,19,5,1.6771,411.2451,5.3
150,21,9,1.1277,583.0856,1.38
109,17,7,1.1126,457.1192,3.66
33,14,4,1.4355,451.5786,0.8
37,13,5,1.224,413.8398,5
52,18,8,1.5441,410.1524,1.8
36,18,3,1.8636,512.8278,0.3
155,21,10,1.0885,497.7153,3.21
137,24,13,1.1436,438.7998,10.03
50,19,4,1.7008,502.6824,4.43
190,24,13,1.3402,525.2408,6.5
172,23,11,1.3777,529.4164,5.81
96,16,13,1.5571,380.6723,2.9
38,16,7,1.7275,372.5708,5.73
46,18,7,1.26,444.1809,1.41
29,16,5,1.4382,452.2649,1.3
36,14,5,1.294,394.6357,8.36
60,20,11,2.1905,422.6721,4.52
30,18,5,2.0783,422.4834,0.97
64,19,6,1.5422,451.106,6.07
33,18,5,1.7693,453.7801,0.01
36,13,3,1.3935,449.5425,3.92
57,17,10,1.3945,380.3719,1.68
36,17,6,1.2781,443.7063,1.18
54,15,8,1.2248,396.8375,6.69
38,18,7,1.447,413.3668,1.4
160,24,10,1.4522,523.5081,6.07
26,19,4,1.8601,462.4564,1.01
38,20,3,1.8344,511.2897,5.02
81,18,8,1.1661,454.5504,8.67
30,15,3,1.2846,475.668,0.47
38,16,6,1.9789,385.4628,1.16
29,14,4,1.1675,515.9421,0.73
40,16,6,1.5647,375.3116,6.21
107,20,12,1.367,422.8838,0.99
68,17,7,1.3151,436.572,0.3
86,18,11,1.245,461.2978,1.4
41,18,5,1.2169,468.0764,0.42
99,18,11,1.3654,392.5063,3.48
41,14,6,2.0483,424.3654,9.27
50,17,9,0.9846,392.8716,1.2
33,16,3,1.3113,573.7323,0.52
36,18,5,1.1742,439.4234,1.08
116,19,8,1.1996,490.201,1.65
159,19,13,1.2702,428.4144,6.56
112,19,9,1.2406,446.8317,6.59
33,19,3,1.6007,443.2774,0.06
101,19,11,1.3332,387.9361,3.11
86,21,12,1.3514,398.9875,4.1
82,20,8,1.5363,480.8351,5.11
141,20,13,1.4497,455.2735,1.28
52,16,7,1.6097,453.0977,4.25
140,22,8,1.2202,465.3033,1.34
149,21,12,1.2845,462.4976,8.09
57,19,10,1.4737,390.1094,1.37
36,16,3,1.517,502.6775,7.5
105,18,11,1.3099,412.0131,1.92
33,18,5,1.4307,405.1762,5.15
76,19,9,1.6897,487.8864,3.22
156,22,10,1.044,583.6484,1.04
48,17,7,1.3431,441.5602,1.84
141,20,10,1.099,492.8771,10.29
